,greivisvasquez,Greivis Vasquez,http://www.nba.com/playerfile/greivis_vasquez
,,,
Chicago Bulls,Raptors,,
,LouAmundson17,Lou Amundson,http://www.nba.com/playerfile/lou_amundson
,,D.J. Augustin,http://www.nba.com/playerfile/dj_augustin
,MisterCBooz,Carlos Boozer,http://www.nba.com/playerfile/carlos_boozer
,RonnieBrewerJr,Ronnie Brewer,http://www.nba.com/playerfile/ronnie_brewer
,mr_2eight1,Jimmy Butler,http://www.nba.com/playerfile/jimmy_butler
,,Mike Dunleavy,http://www.nba.com/playerfile/mike_dunleavy
,jimmerfredette,Jimmer Fredette,http://www.nba.com/playerfile/jimmer_fredette
,TajGibson22,Taj Gibson,http://www.nba.com/playerfile/taj_gibson
,,Kirk Hinrich,http://www.nba.com/playerfile/kirk_hinrich
,mikejames7,Mike James,http://www.nba.com/playerfile/mike_james
,NazrMohammed,Nazr Mohammed,http://www.nba.com/playerfile/nazr_mohammed
,JoakimNoah,Joakim Noah,http://www.nba.com/playerfile/joakim_noah
,drose,Derrick Rose,http://www.nba.com/playerfile/derrick_rose
,TonySnell20,Tony Snell,http://www.nba.com/playerfile/tony_snell
,,,
Cleveland Cavaliers,cavs,,
,AnthonyBennett,Anthony Bennett,http://www.nba.com/playerfile/anthony_bennett
,matthewdelly,Matthew Dellavedova,http://www.nba.com/playerfile/matthew_dellavedova
,LuolDeng9,Luol Deng,http://www.nba.com/playerfile/luol_deng
,C_Felix0,Carrick Felix,http://www.nba.com/playerfile/carrick_felix
,GeeAlonzo,Alonzo Gee,http://www.nba.com/playerfile/alonzo_gee
,spencerhawes00,Spencer Hawes,http://www.nba.com/playerfile/spencer_hawes
,Shopson32,Scotty Hopson,http://www.nba.com/playerfile/scotty_hopson
,KyrieIrving,Kyrie Irving,http://www.nba.com/playerfile/kyrie_irving
,Jarrettjack03,Jarrett Jack,http://www.nba.com/playerfile/jarrett_jack
,,Sergey Karasev,http://www.nba.com/playerfile/sergey_karasev
,masfresco,CJ Miles,http://www.nba.com/playerfile/cj_miles
,RealTristan13,Tristan Thompson,http://www.nba.com/playerfile/tristan_thompson
,VAREJAOANDERSON,Anderson Varejao,http://www.nba.com/playerfile/anderson_varejao
,dionwaiters3,Dion Waiters,http://www.nba.com/playerfile/dion_waiters
,ZellerTyler,Tyler Zeller,http://www.nba.com/playerfile/tyler_zeller
,,,
Detroit Pistons,DetroitPistons,,
,,Chauncey Billups,http://www.nba.com/playerfile/chauncey_billups
,,Will Bynum,http://www.nba.com/playerfile/will_bynum
,CaldwellPope1,Kentavious Caldwell-Pope,http://www.nba.com/playerfile/kentavious_caldwell-pope
,GigiDatome,Gigi Datome,http://www.nba.com/playerfile/gigi_datome
,AndreDrummondd,Andre Drummond,http://www.nba.com/playerfile/andre_drummond
,BigJorts55,Josh Harrellson,http://www.nba.com/playerfile/josh_harrellson
,BrandonJennings,Brandon Jennings,http://www.nba.com/playerfile/brandon_jennings
,JonasJerebko,Jonas Jerebko,http://www.nba.com/playerfile/jonas_jerebko
,,Tony Mitchell,http://www.nba.com/playerfile/tony_mitchell
,M10OSE,Greg Monroe,http://www.nba.com/playerfile/greg_monroe
,KyleSingler,Kyle Singler,http://www.nba.com/playerfile/kyle_singler
,PeypeySiva3,Peyton Siva,http://www.nba.com/playerfile/peyton_siva
,,Josh Smith,http://www.nba.com/playerfile/josh_smith
,,Rodney Stuckey,http://www.nba.com/playerfile/rodney_stuckey
,CVBelieve,Charlie Villanueva,http://www.nba.com/playerfile/charlie_villanueva
,,,
Indiana Pacers,Pacers,,
,Paul_George24,Paul George,http://www.nba.com/playerfile/paul_george
,D_West30,David West,http://www.nba.com/playerfile/david_west
,StephensonLance,Lance Stephenson,http://www.nba.com/playerfile/lance_stephenson
,George_Hill3,George Hill,http://www.nba.com/playerfile/george_hill
,Hoya2aPacer,Roy Hibbert,http://www.nba.com/playerfile/roy_hibbert
,LScola4,Luis Scola,http://www.nba.com/playerfile/luis_scola
,Quietstorm_32,C.J. Watson,http://www.nba.com/playerfile/cj_watson
,thekidet,Evan Turner,http://www.nba.com/playerfile/evan_turner
,OptimusCope,Chris Copeland,http://www.nba.com/playerfile/chris_copeland
,ianmahinmi,Ian Mahinmi,http://www.nba.com/playerfile/ian_mahinmi
,dsloan15,Donald Sloan,http://www.nba.com/playerfile/donald_sloan
,RasualButler45,Rasual Butler,http://www.nba.com/playerfile/rasual_butler
